hhsize,children,region,tenure,hhincome,gross_pay,number_in_work,food_and_drink,tobacco_alcohol,clothing,housing_and_energy,household_goods,health,transport,communication,recreation,education,restaurants_etc,misc_goods,total_consumption,non_consumption,total_expenditure,weight
1,0,Scotland,Rented,0,961.45,1,13.9,19.53,0,7.3,0.425,0,0,0,22.32,0,46.165,1.965,120.68,8.54292344219521,137.215,3138.073467773276
1,0,London,Rented,208.652,266.31,1,23.395,0,0,82.31,0.5,0.5,0,3.38,110.41,0,2.75,31.485,364.625,4.96,255.08864163464,4474.78153510346
1,0,Scotland,Rented,126.192,0,0,40.835,29.33,6.97,28.38,0,2.635,0,8,4.96,0,28.83,3.5,127.165,0,96.505,3221.121159743773
2,1,East Midlands,Rented,143.05,0,0,21.93,17.21,7.5,25.8173076923077,4.395,0,1.05,12.69,1.19,0,0.2,16.695,93.59,2.85,77,3651.475099031323
4,0,South West,Mortgaged,835.92,338.47,4,41.815,0,13.84,40.425,13.23,0,79.68,11.23,78.02,0,18.575,23.85,433.32,313.9485,748.935363341961,4375.868835792043
4,2,East Midlands,Rented,738.75,1035.81,2,54.515,3.07,12,161.03,11.97,6.305,154.47,13.16,56.1,92,35.955,94.655,645.23,61.5883074177925,911.770973154362,2769.130848240084
4,0,East Midlands,Owned outright,714.182,0,1,89.355,15.93,120,24,97.645,35,85.095,26.15,243.535,0,54.58,49.65,899.955,38.5538461538462,677.331376565067,4260.641412396151
1,0,Yorkshire,Owned outright,280,337.25,1,64.215,2.495,49.25,29.17,5.125,0,5,3.66,43.595,0,52.4,36.265,228.86,24.3562221552583,276.22581112204,5312.054174488339
3,2,North East,Rented,148.4,0,0,15.79,0,44.995,20.75,8.135,0,2.865,5.38,60.28,0,15.75,1.24,198.48,12.2703571428571,132.54,4633.356655722203
2,0,Yorkshire,Rented,649.906,37.38,2,44.785,2.99,73.725,61.5576923076923,19.69,28.975,113.58,16.81,32.925,0,93.1,19.4,543.785,46.0359268700474,589.923703763422,3216.2492283556107
1,0,Wales,Owned outright,445.88,649.2,1,52.075,0,24.865,8.75,0,47.2,33.67,2.88,9.255,0,9.625,15.275,209.010769230769,35.2152589006679,177.088250092042,4979.61356397105
2,0,South East,Owned outright,398.864,0,0,34.55,21.815,39.995,15.5,16.11,32.995,1.35,3.08,7.27,0,22.945,15.77,205.867692307692,47.9040135289112,124.25,3224.643940901366
1,0,Eastern,Owned outright,434.502,0,0,31.26,0,15.625,19.81,8.095,0.745,21,12.29,26.735,0,13.275,4.11,195.939615384615,40.8806146996035,146.143626236496,3721.8557693926023
2,1,South West,Owned outright,317.36,234.25,2,54.765,0,35.6,31.48,4.285,0,9.85,7.61,38.865,0,16.175,13.38,205.16,17.262815667014898,176.4,3648.776798570185
4,2,London,Rented,630.0726,635.91,2,73.065,4.35,15.5,197.89,0.49,0,0,10.38,10.705,0,3.42,18.66,482.245,1.16,427.36142594876,4826.385075747508
4,2,South West,Mortgaged,719.8876,453.94,2,50.205,93.385,5.5,22.47,1.25,0.72,16.575,24.875,15.99,0,33.51,43.24,307.895,204.871848195002,507.533504901233,3035.9877669936573
2,0,Wales,Owned outright,255.192,231.63,1,43.98,2.495,0.5,128.54,66.615,0,16.38,4.91,14.67,0,3.535,16.77,232.065,44.4731990284326,300.702462699524,3322.9320336245733
1,0,South East,Mortgaged,428.94,550.89,1,20.905,11.25,0,18.755,7.52,1.775,25.07,14.69,8,0,4.895,46.3265384615385,128.54,483.015519790105,875.250503102087,4223.214985629672
1,0,North West,Rented,343.6902,437.34,1,23.18,0,115.95,86.93,36.385,0,24,6.03,26.705,0,6,28.425,332.15,19.4427674241119,519.928692718411,3258.922350463195
3,1,East Midlands,Mortgaged,615.54,672.98,2,71.16,2.555,41.49,27.69,0,0,30,10.39,148.19,0,59.065,29.54,465.635,59.8868721408875,536.629820226622,3889.05046092887
5,3,East Midlands,Owned outright,1486.41,1910.44,4,62.215,22.145,22.495,24.36,2.81,0.625,72.575,25.655,127.165,0,174.43,27.82,503.125,50.6560211700687,400.773091472946,2381.7748264859974
2,1,North West,Rented,58.98,0,0,16.485,15.13,0,82.39,13.595,0,10,2.31,17.535,0,1.2,3.3,152.58,5.88702795647207,128.095,3748.2391516792422
4,1,South East,Owned outright,412.26,0,4,115.12,2.695,7.495,20.625,3.785,6.74,85.615,36.895,31.61,3.5,7.975,32.795,301.735,30.5888964822583,182.945,4727.9470774431265
3,1,South West,Rented,811.71,230,2,43.825,26.615,23.23,37.595,19.95,3.25,63.22,17.78,89.835,0,203.145,28.29,529.465,343.412829945791,700.948913468798,4294.794900640343
1,0,West Midlands,Rented,49.31,0,0,15.49,0,0,5,0,0,4,0,8.875,0,0,2.33,39.97,0,41.18,2735.0523127864863
2,0,North East,Rented,285.462,0,1,47.285,0,4.405,90.2,21.655,0,24.04,2.77,42.105,0,41.485,10.765,359.933461538462,7.40853967764508,211.358359664894,2707.669559958669
1,0,Scotland,Owned outright,234.822,0,0,48.045,57.575,12.5,109.74,16.04,0,31,8.72,174.18,0,12.525,22.835,332.78,28.0824679017449,338.230737464789,4100.617204492696
2,0,Eastern,Owned outright,829.59,394.12,2,43.235,13.715,134.25,43.45,4.24,3.095,204.12,0,65.18,0,91.125,65.49,772.76,57.0641335514169,707.224,3052.052648442823
1,0,Yorkshire,Rented,135.842,0,0,19.465,8.57,0,40.035,3.18,0,1.2,2.31,1.6,0,3.75,1.42,81.155,0,70.9037333734581,5090.443756985812
2,0,Yorkshire,Owned outright,240.732,0,0,40.775,0,5.635,19.685,10.97,0,26.495,10.01,26.63,0,6.56,15.93,228.625,29.579750092042,198.27,3084.9319392470297
3,0,Northern Ireland,Owned outright,484.124,0,3,61.33,3.49,3.5,26.23,3.315,2.48,27.5,9.92,22.855,0,3.15,30.715,195.865,25.2418805342385,164.867307692308,1121.4436527640598
2,1,South East,Rented,98.36,0,1,20.34,27.3,7.5,3.71,39.205,1.9,24.725,27.24,66.54,0,36.53,2.195,202.495,106.139751440672,331.645,2869.5426033632584
2,0,South East,Rented,480.0354,295.87,2,34.145,0,40.23,110.66,2.14,3.25,106.2,4.85,100.7,0,29.32,13.53,509.965,65.8624782694139,411.5130883225,3589.589078269912
7,3,Eastern,Mortgaged,760.14,0,1,72.055,94.75,12.48,7.49,168.04,1.415,81.35,9.23,131.505,15.38,57.815,29.07,501.89,135.70786115439,575.381922772466,2765.6580356095474
5,1,Scotland,Mortgaged,354.59,297.17,4,67.845,9.055,76.5,38.12,493.705,0,25.53,17.85,27.7930769230769,38.46,85.79,183.08,969.415,123.649619740634,1066.53510287206,4164.152186647014
2,0,East Midlands,Mortgaged,472.05,0,1,18.02,0,19.98,13.335,1.705,0,0,15,15.96,0,100.86,33.3076923076923,256.57,174.108876279353,365.072412002847,3150.0908985307387
1,0,South East,Owned outright,130.262,0,0,32.595,0,1,13.62,2.345,0.595,0,2.92,12.01,0,0,0.995,85.09,30.7703995422773,125.581640832458,3573.324322712515
2,0,Wales,Owned outright,213.854,99.96,1,73.94,0,0,10.53,33.66,2.985,0,0,77.65,0,13.355,19.18,230.71,20.371268535795,144.986031014958,3400.982872889264
1,0,Northern Ireland,Mortgaged,79,0,0,21.99,14,0,16.79,48.505,3.64,0,0,23.805,0,3.5,9.84,127.48,176.693833435987,364.902583111677,865.1300932197356
2,0,London,Rented,735.73,516.02,2,43.485,10.595,7,373.42,36.38,0,48.69,25.28,49.655,0,20.76,5.07,342.055,0,311.95346376936,4366.075004488644
2,0,Northern Ireland,Mortgaged,217.622,0,0,33.67,6.065,0,15.31,7.785,0,0,3.92,0.995,0,23.25,14.38,84.16,8.48550045045572,86.2057132802736,1210.0128669744693
5,3,London,Mortgaged,534.4,260,2,51.775,0,50.485,15.15,4.395,2.13,39.5,17.705,192.915,0,42.08,49.275,432.970769230769,288.932066634003,1127.35984168096,4288.723724602768
5,3,Wales,Mortgaged,424.55,466.96,1,60.795,27.32,0,18.46,12.445,0,15,2.31,32.45,0,34.265,21.65,275.695,52.4443723705389,300.932614283982,3015.050954156329
1,0,Northern Ireland,Owned outright,214.052,0,0,23.2,0,0,12.5,4.525,0,24,3.15,28.95,0,40.57,6.145,190.045,21.6001425457395,141.984291286438,1161.768254099915
2,0,Scotland,Owned outright,302.5,206.84,1,22,0,0,32.61,2.25,20.22,0,6.75,3.995,0,8.54,25.16,145.03,52.6334474284711,143.155,3143.395115904961
6,2,West Midlands,Mortgaged,378.23,535.83,1,113.395,22.245,59.74,27.005,26.37,0,81.625,18.77,112.945,0,77.525,22.885,491.69,43.18,592.436717901369,4446.824144214476
5,3,Yorkshire,Mortgaged,722.64,914.61,1,48.78,1.175,3.05,25.1,35.01,1.645,176.92,6.69,61.08,0,6.325,25.93,416.195,117.826095958292,556.955813009935,4082.103865217673
4,2,North West,Mortgaged,374.65,0,1,30.19,2.25,51.275,26.725,4.13,0,39.325,6.64,32.37,0,7.775,31.54,220.32,63.1095115435433,431.872656932997,3402.082180484541
4,2,Northern Ireland,Mortgaged,373.4,0,1,55.785,1.995,24,19.04,13.6,0.24,49,5.08,31.4,0,14.665,39.53,289.51,98.011952376881,285.724511830306,1623.9771293869746
3,0,South East,Rented,528.722,394.37,3,57.265,46.915,3.5,90.7515384615385,4.97,0.9,36.64,59.76,59.075,3.31,5.375,9.04,387.44,51.8428016479534,253.352773088476,5820.458953040551
2,0,East Midlands,Owned outright,269.92,0,0,26.7,10.445,0,28.355,41.02,1.995,20.355,3.57,84.665,0,119.98,35.225,436.55,57.3572765509989,397.035,4004.827538122399
8,1,Eastern,Mortgaged,1160.49,380.8,5,107.88,19.795,65,33.87,5.43,0,53.23,20.32,39.805,0,13.905,147.65,414.675,285.5745,797.69765153538,6089.339597139989
1,0,North East,Owned outright,323.742,0,0,17.565,0,90.5,9.86,12.47,0,42.5,3.46,56.85,0,114.945,21.9,240.715,86.68,631.261523963925,3041.534273497104
2,0,South East,Owned outright,308.814,0,0,79.805,39.56,5.99,20.41,12.85,1.095,25.12,7.62,50.16,0,13.695,12.47,325.37,82.0573273242601,424.892932507933,3084.0075214964536
2,0,West Midlands,Owned outright,1702.124,0,2,75.715,8.52,30.275,135.61,117.04,4.9,873.902307692308,15,65.91,0,9.085,87.85,2102,146.168596811711,2064.15993210045,4313.533098287098
4,2,South East,Mortgaged,486.0224,338.88,2,64.815,31.895,13.495,30.665,10.29,1.585,29.86,14.05,55.97,0,79,5.77,320.365,115.602827903833,421.620843972559,3845.852669287187
3,1,South East,Mortgaged,770.88,575,2,55.955,0,15.745,34.64,6.71,1.875,29.46,15.54,43.825,0,18.575,33.985,379.75,169.292582458725,549.866203863434,3192.739036374796
1,0,West Midlands,Owned outright,173.062,0,0,27.295,0,0,25.35,18.335,0,11.88,15.19,1.14,0,22.625,5,72.625,16.2835861662641,107.720345497911,3843.9038967319057
